Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,T:System.Windows.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,T:System.Windows.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,F:System.Windows.TextWrapping.Wrap,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,T:System.Windows.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,P:System.Windows.Controls.TextBlock.TextWrapping,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,P:System.Windows.Controls.TextBlock.Text,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,T:System.Windows.Controls.TextBlock,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,278,12,M:System.Windows.Controls.TextBlock.#ctor,,,,,"var textBlock = new TextBlock              {                  Text = err.Message + ""\nSource : "" + err.Source,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Error""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,273,12,T:System.Windows.Controls.StackPanel,,,,,cardError.Children.Add(button);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,273,12,T:System.Windows.Controls.UIElementCollection,,,,,cardError.Children.Add(button);
